SITENO,EAST,NORTH,Comment,distance,No Data (sea or off map),Broadleaved woodland,Coniferous Woodland,Arable and Horticulture,Improved Grassland,Rough Grassland,Neutral Grassland,Calcareous Grassland,Acid Grassland ,"Fen, Marsh and Swamp",Heather,Heather grassland,Bog,Montane Habitats,Inland Rock,Salt water,Freshwater,Supra-littoral Rock,Supra-littoral Sediment,Littoral Rock,Littoral sediment,Saltmarsh,Urban,Suburban,TOTAL COUNT
156,610000,151000, ,1000,0,4064,206,551,185,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5024
42,261000,739000, ,1000,0,0,0,0,0,0,0,0,2644,0,3,10,0,2346,0,0,21,0,0,0,0,0,0,0,5024
43,348200,475000, ,1000,0,1191,6,27,1771,274,0,0,0,1304,0,0,58,0,0,0,362,0,0,0,0,0,0,31,5024
44,367000,80000, ,1000,0,39,0,212,638,0,20,0,0,0,0,0,0,0,0,270,41,0,0,0,124,786,384,2510,5024
45,556000,358000, ,1000,324,68,0,524,134,8,0,0,0,0,0,0,0,0,0,46,99,0,674,0,1588,1556,0,3,5024
46,422000,267000, ,1000,0,160,0,1185,3110,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,254,5024
47,172900,209300, ,1000,1004,2,0,0,168,2978,0,0,0,0,0,0,0,0,61,566,0,185,0,0,60,0,0,0,5024
25,565000,269000, ,1000,0,1271,46,2816,75,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
26,374000,384000, ,1000,0,692,0,1379,1398,356,357,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0,0,68,5024
27,521000,289000, ,1000,0,2635,0,1632,527,0,0,0,0,86,0,0,21,0,0,0,123,0,0,0,0,0,0,0,5024
28,647000,274000, ,1000,0,667,191,2015,594,338,0,0,0,1002,0,0,0,0,0,0,109,0,0,0,0,46,5,57,5024
29,473000,196000, ,1000,0,1865,120,792,1321,690,0,58,121,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,5024
30,472000,196000, ,1000,0,802,44,2621,841,471,0,169,71,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5024
96,400000,353000, ,1000,0,1279,38,120,3308,234,0,0,1,0,18,26,0,0,0,0,0,0,0,0,0,0,0,0,5024
97,554000,102000, ,1000,0,964,0,859,3058,14,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
98,171000,17000, ,1000,0,730,0,2219,1911,140,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
48,527000,186300, ,1000,0,1393,0,0,1503,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,1421,569,5024
49,200000,910000, ,1000,1264,22,0,0,202,285,0,0,0,0,2449,658,0,0,0,36,93,0,0,15,0,0,0,0,5024
50,603600,167500, ,1000,0,81,0,1886,300,1489,0,0,0,0,0,0,0,0,0,0,48,0,3,0,371,780,56,10,5024
51,297000,818000, ,1000,0,0,3270,0,0,0,0,0,0,0,862,22,9,0,0,0,861,0,0,0,0,0,0,0,5024
52,356000,173000, ,1000,0,1889,89,169,1362,175,0,0,34,0,0,0,0,0,0,130,43,0,18,56,8,102,43,906,5024
53,356000,173000, ,1000,0,1889,89,169,1362,175,0,0,34,0,0,0,0,0,0,130,43,0,18,56,8,102,43,906,5024
54,360000,209000, ,1000,0,2421,2184,26,167,44,0,0,14,0,23,128,0,0,0,0,0,0,0,0,0,0,0,17,5024
55,243000,687000, ,1000,0,1647,134,179,2475,397,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,12,24,5024
56,476000,117000, ,1000,0,1748,622,1867,710,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5024
57,305000,316000, ,1000,0,330,478,495,2185,1504,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5024
58,405000,200000, ,1000,0,78,15,3190,1076,140,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,94,419,5024
59,575000,288000, ,1000,0,338,768,2526,324,888,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5024
60,413000,643000, ,1000,226,0,0,730,1485,359,2,0,0,0,0,0,0,0,10,320,59,0,1538,0,186,5,42,62,5024
61,281000,801000, ,1000,0,71,2134,197,825,0,0,0,630,499,260,266,0,0,0,0,27,0,0,0,0,0,26,89,5024
62,578000,176000, ,1000,0,1060,0,2382,1087,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,446,5024
63,446000,427000, ,1000,0,953,81,1781,337,54,47,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,51,687,5024
64,173800,205200, ,1000,3687,0,0,0,0,1214,0,0,0,14,0,0,0,0,0,38,0,0,0,0,59,0,0,12,5024
65,523000,284000, ,1000,0,940,0,3359,293,0,21,0,0,357,0,0,0,0,0,0,54,0,0,0,0,0,0,0,5024
66,350000,727000, ,1000,232,0,2892,186,0,304,0,0,0,0,23,130,0,0,0,0,0,0,584,0,673,0,0,0,5024
67,348010,472430, ,1000,0,699,0,15,1425,226,129,0,26,0,0,18,2,0,9,0,242,0,67,0,26,2076,15,48,5023
68,646000,267000, ,1000,0,1923,161,288,1004,722,0,0,0,207,23,9,0,0,0,0,617,0,0,0,0,0,8,62,5024
122,581000,130000, ,1000,0,388,0,2317,2190,0,85,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,14,0,5024
73,338000,477000, ,1000,0,86,26,645,3561,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,385,5024
74,484000,234000, ,1000,0,382,0,543,1507,150,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,114,2306,5024
75,574000,272000, ,1000,0,593,27,2039,1565,591,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,51,5024
76,556000,270000, ,1000,0,764,0,431,1116,1578,73,0,0,722,30,164,0,0,0,0,94,0,0,0,0,0,0,52,5024
77,346000,726000, ,1000,0,76,1721,2300,249,288,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,18,19,5024
78,313000,790000, ,1000,0,884,1080,0,10,0,0,0,186,0,1645,143,0,1030,0,0,46,0,0,0,0,0,0,0,5024
79,374000,763000, ,1000,774,96,152,871,928,460,0,0,13,0,14,0,0,0,0,936,18,0,498,0,141,0,0,123,5024
80,603000,149000, ,1000,0,1703,73,1934,1206,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5024
81,221000,381000, ,1000,3263,0,0,10,698,370,0,0,35,0,148,379,0,0,0,9,0,66,0,0,0,0,9,37,5024
82,222000,380000, ,1000,1533,0,0,0,875,1207,0,0,0,0,288,985,0,0,0,11,0,0,25,68,0,0,9,23,5024
83,411000,163000, ,1000,0,0,0,3060,1419,525,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
84,441000,123800, ,1000,0,2235,786,749,1083,0,87,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,38,5024
85,418000,365000, ,1000,0,664,0,3,3858,63,0,10,278,0,9,117,0,0,0,0,0,0,0,0,0,0,0,22,5024
86,458000,133000, ,1000,0,186,11,2169,1405,25,67,0,0,0,0,31,0,0,0,0,102,0,0,0,0,0,124,904,5024
87,402000,827000, ,1000,464,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,4213,77,226,0,0,0,5024
